epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,8414.48,0.94563,0.73933,1.30034,0.59876,0.57525,0.56372,0.36009,1.31678,1.85045,1.71563,6.3024e-05,6.3024e-05,6.3024e-05
42,8618.39,0.92621,0.7047,1.28901,0.58999,0.59314,0.56847,0.36328,1.31308,1.84497,1.716,5.70246e-05,5.70246e-05,5.70246e-05
43,8820.78,0.92295,0.69217,1.28871,0.60845,0.57769,0.57053,0.36891,1.30799,1.85092,1.70731,5.10252e-05,5.10252e-05,5.10252e-05
44,9023.75,0.91278,0.67457,1.27283,0.62904,0.56615,0.5842,0.3713,1.30157,1.84722,1.70004,4.50258e-05,4.50258e-05,4.50258e-05
45,9225.21,0.90485,0.66035,1.27018,0.63103,0.55966,0.5813,0.37023,1.29738,1.84096,1.70187,3.90264e-05,3.90264e-05,3.90264e-05
46,9429.63,0.90079,0.65725,1.27077,0.62714,0.56053,0.5787,0.37205,1.29752,1.84901,1.70101,3.3027e-05,3.3027e-05,3.3027e-05
47,9630.17,0.8966,0.65166,1.26643,0.62064,0.54887,0.57856,0.37329,1.30009,1.85514,1.70059,2.70276e-05,2.70276e-05,2.70276e-05
48,9836.78,0.88806,0.64373,1.26492,0.61308,0.56826,0.58024,0.37901,1.30423,1.85302,1.70521,2.10282e-05,2.10282e-05,2.10282e-05
49,10030.8,0.88458,0.63826,1.26079,0.62055,0.55422,0.57815,0.37417,1.30206,1.85953,1.70403,1.50288e-05,1.50288e-05,1.50288e-05
50,10223.7,0.87887,0.63058,1.25505,0.61105,0.56293,0.57861,0.37634,1.30102,1.8572,1.70358,9.0294e-06,9.0294e-06,9.0294e-06
